,title,company,salary,summary
285,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
286,Human Resources Director,Honeywell,,
287,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
288,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
289,Test Engineer - Entry Level (Temporary),Barrios Technology,,
290,Process Engineer,Allegiance Refining LLC,,
291,Mechanical Technician - Power Generation Plant,Entergy,,
292,Field Analyst,Western Midstream,,
293,Associate,PinnacleART,,
294,Workover & Completions Specialist,Occidental Petroleum Corporation,,
295,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
296,MINERAL PRODUCTION ANALYST 1-2,State of Louisiana,"$2,018 - $3,962 a month","The incumbent in this position is responsible for auditing various reports submitted by the petroleum industry each month regarding production, storage,…"
297,"Gas Plant Operator (Washington, PA)",Marathon Petroleum Corporation,,
298,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
299,"Director, Global Digital Enablement",Apache Corporation,,
300,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
301,Development Engineer,Gardner Denver Petroleum,,
302,Reservoir engineer,International United Technology Group,,
303,Manager Loss Control,Valero Energy Corporation,,
304,Chief Technology Engineer,"LanzaJet, Inc.",,
305,Laboratory Technician III,Marathon Petroleum Corporation,,
306,Entry-level Mechanical Engineer - Applications Engineering,A.W. Chesterton Company,"$55,000 - $60,000 a year","Generates and/or recommends engineering changes and designs based on customer requirements.
Generate, check, and/or approve technical drawings and engineering…"
307,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
308,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
309,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
310,Transportation Specialist (Instructor) (Open to both U.S. Ci...,US Pipeline and Hazardous Materials Safety Adminis...,"$92,143 - $119,787 a year","Undergraduate and Graduate Education: Major study - accounting, business administration, business or commercial law, commerce, economics, engineering, finance,…"
311,Expert on providing Technical Assistance to ALTECH (Energy A...,United Nations Development Programme (UNDP),,
312,MPD Field Engineer,Nabors Industries,,
313,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
314,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
315,Instrumentation Technician,Marathon Petroleum Corporation,,
316,Development Engineer,Gardner Denver Petroleum,,
317,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
318,Reservoir engineer,International United Technology Group,,
319,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
320,Manager Loss Control,Valero Energy Corporation,,
321,Chief Technology Engineer,"LanzaJet, Inc.",,
322,Laboratory Technician III,Marathon Petroleum Corporation,,
323,Entry-level Mechanical Engineer - Applications Engineering,A.W. Chesterton Company,"$55,000 - $60,000 a year","Generates and/or recommends engineering changes and designs based on customer requirements.
Generate, check, and/or approve technical drawings and engineering…"
324,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
325,Transportation Specialist (Instructor) (Open to both U.S. Ci...,US Pipeline and Hazardous Materials Safety Adminis...,"$92,143 - $119,787 a year","Undergraduate and Graduate Education: Major study - accounting, business administration, business or commercial law, commerce, economics, engineering, finance,…"
326,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
327,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
328,Expert on providing Technical Assistance to ALTECH (Energy A...,United Nations Development Programme (UNDP),,
329,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
330,Development Engineer,Gardner Denver Petroleum,,
331,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
332,Reservoir engineer,International United Technology Group,,
333,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
334,Manager Loss Control,Valero Energy Corporation,,
335,Chief Technology Engineer,"LanzaJet, Inc.",,
336,Laboratory Technician III,Marathon Petroleum Corporation,,
337,Entry-level Mechanical Engineer - Applications Engineering,A.W. Chesterton Company,"$55,000 - $60,000 a year","Generates and/or recommends engineering changes and designs based on customer requirements.
Generate, check, and/or approve technical drawings and engineering…"
338,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
339,Transportation Specialist (Instructor) (Open to both U.S. Ci...,US Pipeline and Hazardous Materials Safety Adminis...,"$92,143 - $119,787 a year","Undergraduate and Graduate Education: Major study - accounting, business administration, business or commercial law, commerce, economics, engineering, finance,…"
340,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
341,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
342,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
343,Expert on providing Technical Assistance to ALTECH (Energy A...,United Nations Development Programme (UNDP),,
344,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
345,"Engineer, Production","Cheniere Energy, Inc.",,
346,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
347,Development Engineer,Gardner Denver Petroleum,,
348,Reservoir engineer,International United Technology Group,,
349,Manager Loss Control,Valero Energy Corporation,,
350,Chief Technology Engineer,"LanzaJet, Inc.",,
351,Laboratory Technician III,Marathon Petroleum Corporation,,
352,Entry-level Mechanical Engineer - Applications Engineering,A.W. Chesterton Company,"$55,000 - $60,000 a year","Generates and/or recommends engineering changes and designs based on customer requirements.
Generate, check, and/or approve technical drawings and engineering…"
353,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
354,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
355,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
356,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
357,Transportation Specialist (Instructor) (Open to both U.S. Ci...,US Pipeline and Hazardous Materials Safety Adminis...,"$92,143 - $119,787 a year","Undergraduate and Graduate Education: Major study - accounting, business administration, business or commercial law, commerce, economics, engineering, finance,…"
358,Expert on providing Technical Assistance to ALTECH (Energy A...,United Nations Development Programme (UNDP),,
359,MPD Field Engineer,Nabors Industries,,
360,Thermal Sciences Engineers,Exponent,,
361,Shipping Clerk,Petroleum Service Corporation,,
362,Operations Supervisor,YRC Freight,,
363,"Field Engineer (Wireline Services) - Mt Pleasant, MI",Baker Hughes,,
364,Patent Analyst - Chemistry (Remote Contractor),CPA Global,,
365,"Measurement Specialist - Bartlesville, OK",Phillips 66,,
366,E&P Engineer,Piper Sandler,,
367,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
368,"Research Analyst, E&P",IPA,,
369,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
370,Human Resources Director,Honeywell,,
371,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
372,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
373,Test Engineer - Entry Level (Temporary),Barrios Technology,,
374,Process Engineer,Allegiance Refining LLC,,
375,Shipping Clerk,Petroleum Service Corporation,,
376,Operations Supervisor,YRC Freight,,
377,"Field Engineer (Wireline Services) - Mt Pleasant, MI",Baker Hughes,,
378,Patent Analyst - Chemistry (Remote Contractor),CPA Global,,
379,"Measurement Specialist - Bartlesville, OK",Phillips 66,,
380,E&P Engineer,Piper Sandler,,
381,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
382,"Research Analyst, E&P",IPA,,
383,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
384,Human Resources Director,Honeywell,,
385,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
386,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
387,Test Engineer - Entry Level (Temporary),Barrios Technology,,
388,Process Engineer,Allegiance Refining LLC,,
389,Mechanical Technician - Power Generation Plant,Entergy,,
390,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
391,Environmental Intern,Nobis Group,,
392,Intern,CVR Energy,,
393,Fracturing engineer,International United Technology Group,,
394,Sr. R&D Chemist - Engine Oils,NewMarket Services Corporation,,
395,DATA SCIENTIST,Sensia Global,,
396,Process Engineer - Biorefinery Analysis,National Renewable Energy Laboratory,"$59,100 - $97,600 a year","Our ideal candidate will have experience with use and application of engineering principles, theories and concepts."
397,Operations Supervisor,YRC Freight,,
398,Inspector,Marathon Petroleum Corporation,,
399,Petroleum Sales Representative,SPATCO ENERGY SOLUTIONS LLC,,
400,Equipment & Controls Technician,Kinder Morgan,,
401,Process Engineer,PBF Energy,,
402,Logistics Readiness,Air Force Reserve,,
403,Sr. Scientist – Heat Transfer Expert,BayoTech,,
404,Equipment and Controls,Kinder Morgan,,
405,Field Analyst,Western Midstream,,
406,Associate,PinnacleART,,
407,Workover & Completions Specialist,Occidental Petroleum Corporation,,
408,Fracturing engineer,International United Technology Group,,
409,Reservoir engineer,International United Technology Group,,
410,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
411,MINERAL PRODUCTION ANALYST 1-2,State of Louisiana,"$2,018 - $3,962 a month","The incumbent in this position is responsible for auditing various reports submitted by the petroleum industry each month regarding production, storage,…"
412,"Gas Plant Operator (Washington, PA)",Marathon Petroleum Corporation,,
413,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
414,"Director, Global Digital Enablement",Apache Corporation,,
415,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
416,Scientist,TFE Inc,,
417,Specialist Plant Staff,Occidental Petroleum Corporation,,
418,Automation Advisor,Occidental Petroleum Corporation,,
419,Customer Engagement Manager,"AMETEK, Inc.",,
420,MPD Field Engineer,Nabors Industries,,
421,Environmental Intern,Nobis Group,,
422,Sr. R&D Chemist - Engine Oils,NewMarket Services Corporation,,
423,Intern,CVR Energy,,
424,Fracturing engineer,International United Technology Group,,
425,Process Engineer - Biorefinery Analysis,National Renewable Energy Laboratory,"$59,100 - $97,600 a year","Our ideal candidate will have experience with use and application of engineering principles, theories and concepts."
426,DATA SCIENTIST,Sensia Global,,
427,Equipment & Controls Technician,Kinder Morgan,,
428,Operations Supervisor,YRC Freight,,
429,Patent Analyst - Chemistry (Remote Contractor),CPA Global,,
430,Inspector,Marathon Petroleum Corporation,,
431,Process Engineer,PBF Energy,,
432,Sr. Scientist – Heat Transfer Expert,BayoTech,,
433,Logistics Readiness,Air Force Reserve,,
434,Research Chemist,V-TIC Services Inc.,$25 - $28 an hour,"The Research & Development chemist will be responsible for directing all day-to-day activities in the R&D Laboratory.
Social distancing guidelines in place."
435,Field Analyst,Western Midstream,,
436,Associate,PinnacleART,,
437,Workover & Completions Specialist,Occidental Petroleum Corporation,,
438,Fracturing engineer,International United Technology Group,,
439,Reservoir engineer,International United Technology Group,,
440,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
441,MINERAL PRODUCTION ANALYST 1-2,State of Louisiana,"$2,018 - $3,962 a month","The incumbent in this position is responsible for auditing various reports submitted by the petroleum industry each month regarding production, storage,…"
442,"Gas Plant Operator (Washington, PA)",Marathon Petroleum Corporation,,
443,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
444,"Director, Global Digital Enablement",Apache Corporation,,
445,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
446,Scientist,TFE Inc,,
447,Specialist Plant Staff,Occidental Petroleum Corporation,,
448,Automation Advisor,Occidental Petroleum Corporation,,
449,Customer Engagement Manager,"AMETEK, Inc.",,
450,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
451,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
452,Environmental Intern,Nobis Group,,
453,Intern,CVR Energy,,
454,Fracturing engineer,International United Technology Group,,
455,Sr. R&D Chemist - Engine Oils,NewMarket Services Corporation,,
456,DATA SCIENTIST,Sensia Global,,
457,Process Engineer - Biorefinery Analysis,National Renewable Energy Laboratory,"$59,100 - $97,600 a year","Our ideal candidate will have experience with use and application of engineering principles, theories and concepts."
458,Operations Supervisor,YRC Freight,,
459,Inspector,Marathon Petroleum Corporation,,
460,Petroleum Sales Representative,SPATCO ENERGY SOLUTIONS LLC,,
461,Equipment & Controls Technician,Kinder Morgan,,
462,Process Engineer,PBF Energy,,
463,Logistics Readiness,Air Force Reserve,,
464,Sr. Scientist – Heat Transfer Expert,BayoTech,,
465,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
466,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
467,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
468,Scientist,TFE Inc,,
469,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
470,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
471,I&E Technician,Centurion Pipeline,,
472,"Research Analyst, E&P",IPA,,
473,Reliability Superintendent - Alliance Refinery,Phillips 66,,
474,Western Regional Sales Manager,"AMETEK, Inc.",,
475,G&P Project Engineer II,Marathon Petroleum Corporation,,
476,Senior Completion Engineer –,DeGolyer and MacNaughton,,
477,Process Safety & Risk Engineer - HSSE,Western Midstream,,
478,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
479,Sales Representative,National Oilwell Varco,,
480,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
481,Patent Analyst - Chemistry (Remote Contractor),CPA Global,,
482,Researcher - Energy Institute,Penn State University,,
483,Electrical Designer,APTIM,,
484,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
485,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
486,Exploration Geoscientist,Shell,,
487,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
488,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
489,"Research Analyst, E&P",IPA,,
490,Chemical Operator,Occidental Petroleum Corporation,,
491,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
492,I&E Technician,Centurion Pipeline,,
493,G&P Project Engineer II,Marathon Petroleum Corporation,,
494,Midstream Certification Engineer,Project Canary,,
495,Customer Engagement Manager,"AMETEK, Inc.",,
496,Geologist 9-P11 (Limited-Term) - Hydrogeology Unit,State of Michigan,$20.98 - $35.35 an hour,"Possession of a bachelor's degree in geology or geological, petroleum or mining engineering.
This position conducts basic geologic/hydrogeologic site…"
497,Product Developer,U.S. SILICA,,
498,Lab Technician I,Par Pacific,,
499,Development Engineer,Gardner Denver Petroleum,,
500,Shift Team Lead - Lake Charles Refinery,Phillips 66,,
501,Refining Engineer II,Marathon Petroleum Corporation,,
502,Intern,CVR Energy,,
503,University - Engineering - Intern,"Team Industrial Services, Inc.",,
504,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
505,Refining Planning Engineer,Marathon Petroleum Corporation,,
506,Supply Chain Specialist (Tuesday through Saturday),Transplace,,
507,"Engineer, Production","Cheniere Energy, Inc.",,
508,Environmental Manager 14 - Source Water Unit Manager,State of Michigan,$30.83 - $45.35 an hour,"Possession of a bachelor's degree in the physical sciences, biological sciences, resource management, sanitary science, environmental health, engineering,…"
509,Lab Technician,HollyFrontier Corporation,,
510,Equipment and Controls,Kinder Morgan,,
511,Research Chemist,V-TIC Services Inc.,$25 - $28 an hour,"The Research & Development chemist will be responsible for directing all day-to-day activities in the R&D Laboratory.
Social distancing guidelines in place."
512,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
513,Patent Analyst - Chemistry (Remote Contractor),CPA Global,,
514,Researcher - Energy Institute,Penn State University,,
515,Electrical Designer,APTIM,,
516,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
517,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
518,Exploration Geoscientist,Shell,,
519,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
520,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
521,"Research Analyst, E&P",IPA,,
522,Chemical Operator,Occidental Petroleum Corporation,,
523,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
524,I&E Technician,Centurion Pipeline,,
525,Product Developer,U.S. SILICA,,
526,Lab Technician I,Par Pacific,,
527,Development Engineer,Gardner Denver Petroleum,,
528,Shift Team Lead - Lake Charles Refinery,Phillips 66,,
529,Refining Engineer II,Marathon Petroleum Corporation,,
530,Intern,CVR Energy,,
531,University - Engineering - Intern,"Team Industrial Services, Inc.",,
532,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
533,Refining Planning Engineer,Marathon Petroleum Corporation,,
534,Supply Chain Specialist (Tuesday through Saturday),Transplace,,
535,"Engineer, Production","Cheniere Energy, Inc.",,
536,Environmental Manager 14 - Source Water Unit Manager,State of Michigan,$30.83 - $45.35 an hour,"Possession of a bachelor's degree in the physical sciences, biological sciences, resource management, sanitary science, environmental health, engineering,…"
537,Lab Technician,HollyFrontier Corporation,,
538,Technical Service Engineer,Clariant,,
539,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
540,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
541,Patent Analyst - Chemistry (Remote Contractor),CPA Global,,
542,Researcher - Energy Institute,Penn State University,,
543,Electrical Designer,APTIM,,
544,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
545,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
546,Exploration Geoscientist,Shell,,
547,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
548,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
549,"Research Analyst, E&P",IPA,,
550,Chemical Operator,Occidental Petroleum Corporation,,
551,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
552,I&E Technician,Centurion Pipeline,,
553,G&P Project Engineer II,Marathon Petroleum Corporation,,
554,Midstream Certification Engineer,Project Canary,,
555,Logistics Readiness,Air Force Reserve,,
556,Research Chemist,V-TIC Services Inc.,$25 - $28 an hour,"The Research & Development chemist will be responsible for directing all day-to-day activities in the R&D Laboratory.
Social distancing guidelines in place."
557,Petroleum Sales Representative,SPATCO ENERGY SOLUTIONS LLC,,
558,Exploration Geoscientist,Shell,,
559,Equipment and Controls,Kinder Morgan,,
560,Researcher - Energy Institute,Penn State University,,
561,Midstream Certification Engineer,Project Canary,,
562,Electrical Designer,APTIM,,
563,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
564,Chemical Operator,Occidental Petroleum Corporation,,
565,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
566,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
567,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
568,Scientist,TFE Inc,,
569,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
570,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
571,Project Coordinator,Barrios Technology,,
572,Scheduling Supervisor,Marathon Petroleum Corporation,,
573,Drafting/Designer,Occidental Petroleum Corporation,,
574,Researcher - Energy Institute,Penn State University,,
575,Operations Engineer,California Resources Corporation,,
576,Facilities Engineer,Discovery Natural Resources LLC,,
577,Mechanical Assembler,ANGI Energy,,
578,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
579,Commodities Research - Associate,"JPMorgan Chase Bank, N.A.",,
580,Software Development Engineering Analyst,Valero Energy Corporation,,
581,Document Control Specialist,VersityLink,$20 - $40 an hour,"The individual should have experience with managing documentation for all phases of major capital project execution, engineering, procurement, construction and…"
582,Air Quality Engineer,GHD,,
583,Process Engineer,U.S. SILICA,,
584,Environments Designer,WD Partners,,
585,Technical Service Engineer,Clariant,,
586,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
587,Project Coordinator,Barrios Technology,,
588,Scheduling Supervisor,Marathon Petroleum Corporation,,
589,Drafting/Designer,Occidental Petroleum Corporation,,
590,Researcher - Energy Institute,Penn State University,,
591,Operations Engineer,California Resources Corporation,,
592,Facilities Engineer,Discovery Natural Resources LLC,,
593,Mechanical Assembler,ANGI Energy,,
594,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
595,Commodities Research - Associate,"JPMorgan Chase Bank, N.A.",,
596,Software Development Engineering Analyst,Valero Energy Corporation,,
597,Document Control Specialist,VersityLink,$20 - $40 an hour,"The individual should have experience with managing documentation for all phases of major capital project execution, engineering, procurement, construction and…"
598,Air Quality Engineer,GHD,,
599,Process Engineer,U.S. SILICA,,
600,I&E Technician,Centurion Pipeline,,
601,"Research Analyst, E&P",IPA,,
602,Reliability Superintendent - Alliance Refinery,Phillips 66,,
603,Western Regional Sales Manager,"AMETEK, Inc.",,
604,G&P Project Engineer II,Marathon Petroleum Corporation,,
605,Senior Completion Engineer –,DeGolyer and MacNaughton,,
606,Process Safety & Risk Engineer - HSSE,Western Midstream,,
607,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
608,Sales Representative,National Oilwell Varco,,
609,Geosciences Engineer - Numerical Modeler,Sandia National Laboratories,,
610,Field Sales Representative (Surface Wellhead),TechnipFMC,"$110,000 - $130,000 a year","Because of increase product demand in the Permian Basin, we have an immediate need for an experienced Field Sales Representative with experience selling Surface…"
611,R&D Scientist - Chemical Sciences,NewMarket Services Corporation,,
612,Data Scientist (611659),Aramco Services Company,,
613,Digital Oil Field Consultant,IPCOS,,
614,Geothermal Scientist (Temporary),University of North Dakota,$40 an hour,"Performing geophysical analysis of geothermal gradients and heat flow in a variety of geologic settings.
Assisting in the preparation of technical proposals,…"
615,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
616,I&E Technician,Centurion Pipeline,,
617,"Research Analyst, E&P",IPA,,
618,Reliability Superintendent - Alliance Refinery,Phillips 66,,
619,Western Regional Sales Manager,"AMETEK, Inc.",,
620,G&P Project Engineer II,Marathon Petroleum Corporation,,
621,Senior Completion Engineer –,DeGolyer and MacNaughton,,
622,Process Safety & Risk Engineer - HSSE,Western Midstream,,
623,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
624,Sales Representative,National Oilwell Varco,,
625,Geosciences Engineer - Numerical Modeler,Sandia National Laboratories,,
626,Field Sales Representative (Surface Wellhead),TechnipFMC,"$110,000 - $130,000 a year","Because of increase product demand in the Permian Basin, we have an immediate need for an experienced Field Sales Representative with experience selling Surface…"
627,R&D Scientist - Chemical Sciences,NewMarket Services Corporation,,
628,Data Scientist (611659),Aramco Services Company,,
629,Digital Oil Field Consultant,IPCOS,,
630,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
631,Project Coordinator,Barrios Technology,,
632,Scheduling Supervisor,Marathon Petroleum Corporation,,
633,Drafting/Designer,Occidental Petroleum Corporation,,
634,Researcher - Energy Institute,Penn State University,,
635,Operations Engineer,California Resources Corporation,,
636,Facilities Engineer,Discovery Natural Resources LLC,,
